tmp, a, b: 0 5 1073741824
tmp, a, b: 0 5 0
tmp, a, b: 0 5 1073741824
tmp, a, b: 0 5 0
tmp, a, b: 0 5 1073741824
tmp, a, b: 0 5 0
tmp, a, b: 0 5 1073741824
tmp, a, b: 0 5 0
tmp, a, b: 0 5 1073741824
tmp, a, b: 0 5 0
tmp, a, b: 0 5 1073741824
tmp, a, b: -5 28 5
tmp, a, b: -5 28 1073741824
tmp, a, b: -28 -1073741824 28
tmp, a, b: -5000 -5000 28
tmp, a, b: 5000 -1073741824 -5000
tmp, a, b: -20 -1073741824 20
tmp, a, b: -18 -1073741824 18
tmp, a, b: -18 -1073741824 18
tmp, a, b: -20 -1073741824 18
tmp, a, b: -20 -1073741824 18
tmp, a, b: -20 -1073741824 18
tmp, a, b: -20 -1073741824 18
tmp, a, b: -20 -1073741824 18
tmp, a, b: -18 -1073741824 18
tmp, a, b: -20 -1073741824 18
tmp, a, b: -18 -18 -5000
tmp, a, b: 18 -1073741824 -5000
tmp, a, b: -6 -1073741824 6
tmp, a, b: -8 -1073741824 6
tmp, a, b: -8 -1073741824 6
tmp, a, b: -6 -1073741824 6
tmp, a, b: -8 -1073741824 6
tmp, a, b: -8 -1073741824 6
tmp, a, b: -8 -1073741824 6
tmp, a, b: -8 -1073741824 6
tmp, a, b: -8 -1073741824 6
tmp, a, b: -8 -1073741824 6
tmp, a, b: -6 -1073741824 6
tmp, a, b: -8 -1073741824 6
tmp, a, b: -6 -6 -5000
tmp, a, b: 6 -1073741824 -5000
tmp, a, b: -6 -1073741824 6
tmp, a, b: -6 -1073741824 6
tmp, a, b: -6 -1073741824 6
tmp, a, b: -6 -1073741824 6
tmp, a, b: -6 -1073741824 6
tmp, a, b: -6 -1073741824 6
tmp, a, b: -6 -1073741824 6
tmp, a, b: -6 -1073741824 6
tmp, a, b: -6 -1073741824 6
tmp, a, b: -6 -1073741824 6
tmp, a, b: -4 -1073741824 4
tmp, a, b: -6 -1073741824 4
tmp, a, b: -4 -4 -5000
tmp, a, b: 4 -1073741824 -5000
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 2 -5000
tmp, a, b: -2 -1073741824 -5000
tmp, a, b: -2 -1073741824 2
tmp, a, b: -2 -1073741824 2
tmp, a, b: -2 -1073741824 2
tmp, a, b: -2 -1073741824 2
tmp, a, b: -2 -1073741824 2
tmp, a, b: -2 -1073741824 2
tmp, a, b: 0 -1073741824 0
tmp, a, b: -2 -1073741824 0
tmp, a, b: -2 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: -2 -1073741824 0
tmp, a, b: -2 -1073741824 0
tmp, a, b: -2 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: -2 -1073741824 0
tmp, a, b: 0 0 -5000
tmp, a, b: 0 -1073741824 -5000
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 0 -1073741824 0
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 0 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
tmp, a, b: 2 -1073741824 -2
